text,phonetic,part_of_speech,definition_en,definition_vi,example_en,example_vi,level
pen,/pen/,noun,a writing instrument that uses ink,cây bút,Can I borrow your pen?,Tôi có thể mượn bút của bạn không?,A1
rain,/reɪn/,noun,water that falls from clouds,mưa,It rains a lot in summer.,Trời mưa nhiều vào mùa hè.,A1
sun,/sʌn/,noun,the star at the center of the solar system,mặt trời,The sun rises in the east.,Mặt trời mọc ở phía đông.,A1
table,/ˈteɪ.bəl/,noun,a piece of furniture with a flat top and legs,cái bàn,Put the plates on the table.,Đặt đĩa lên bàn.,A1
under,/ˈʌn.dər/,preposition,in a lower position than something else,dưới,The cat is under the table.,Con mèo ở dưới bàn.,A1
visit,/ˈvɪz.ɪt/,verb,to go to see a person or place,thăm,We visit my grandparents every Sunday.,Chúng tôi thăm ông bà mỗi Chủ nhật.,A1
water,/ˈwɔː.tər/,noun,a clear liquid that falls as rain,nước,Drink plenty of water every day.,Uống nhiều nước mỗi ngày.,A1
year,/jɪər/,noun,a period of twelve months,năm,I was born in the year 2000.,Tôi sinh năm 2000.,A1
bus,/bʌs/,noun,a large vehicle that carries many passengers,xe buýt,I take the bus to school.,Tôi đi xe buýt đến trường.,A1
city,/ˈsɪt.i/,noun,a large and important town,thành phố,Ho Chi Minh City is a big city.,Thành phố Hồ Chí Minh là một thành phố lớn.,A1
day,/deɪ/,noun,a period of twenty-four hours,ngày,Today is a beautiful day.,Hôm nay là một ngày đẹp trời.,A1
early,/ˈɜː.li/,adverb,before the usual or expected time,sớm,She wakes up early every morning.,Cô ấy thức dậy sớm mỗi buổi sáng.,A1
family,/ˈfæm.ɪ.li/,noun,a group of people who are related,gia đình,My family has four members.,Gia đình tôi có bốn thành viên.,A1
go,/ɡəʊ/,verb,to move or travel to a place,đi,Let's go to the beach!,Hãy đi đến bãi biển!,A1
help,/help/,verb,to do something useful for someone,giúp đỡ,Can you help me with this?,Bạn có thể giúp tôi với cái này không?,A1
inside,/ɪnˈsaɪd/,preposition,in the inner part of something,bên trong,Please come inside.,Vui lòng vào bên trong.,A1
juice,/dʒuːs/,noun,a drink made from the liquid of fruit or vegetables,nước ép,I drink orange juice every morning.,Tôi uống nước cam mỗi sáng.,A1
little,/ˈlɪt.əl/,adjective,small in size or amount,nhỏ,She has a little dog.,Cô ấy có một con chó nhỏ.,A1
mother,/ˈmʌð.ər/,noun,a female parent,người mẹ,My mother cooks very well.,Mẹ tôi nấu ăn rất ngon.,A1
new,/njuː/,adjective,recently made or bought,mới,I have a new phone.,Tôi có một chiếc điện thoại mới.,A1
orange,/ˈɒr.ɪndʒ/,noun,a round citrus fruit with orange skin,quả cam,She peels an orange for breakfast.,Cô ấy gọt một quả cam để ăn sáng.,A1
park,/pɑːk/,noun,a large public area with grass and trees,công viên,Children love playing in the park.,Trẻ em thích chơi trong công viên.,A1
read,/riːd/,verb,to look at written words and understand them,đọc,I read the newspaper every morning.,Tôi đọc báo mỗi buổi sáng.,A1
school,/skuːl/,noun,a place where children go to learn,trường học,She goes to school by bicycle.,Cô ấy đi học bằng xe đạp.,A1
time,/taɪm/,noun,the indefinite continued progress of existence,thời gian,What time is it now?,Bây giờ là mấy giờ?,A1
umbrella,/ʌmˈbrel.ə/,noun,a device you hold over your head to stay dry in rain,cái ô,Take an umbrella because it may rain.,Mang ô theo vì trời có thể mưa.,A1
window,/ˈwɪn.dəʊ/,noun,an opening in a wall with glass to let in light,cửa sổ,Open the window to let in fresh air.,Mở cửa sổ để có không khí trong lành.,A1
box,/bɒks/,noun,a container with flat sides,cái hộp,Put the books in the box.,Cho sách vào hộp.,A1
color,/ˈkʌl.ər/,noun,the quality of an object related to light it reflects,màu sắc,What is your favorite color?,Màu sắc yêu thích của bạn là gì?,A1
draw,/drɔː/,verb,to make a picture using a pencil or pen,vẽ,She draws pictures every afternoon.,Cô ấy vẽ tranh mỗi buổi chiều.,A1
eye,/aɪ/,noun,one of the two organs in your head used for seeing,con mắt,She has beautiful blue eyes.,Cô ấy có đôi mắt xanh đẹp.,A1
food,/fuːd/,noun,things that people eat to stay alive,thức ăn,Vietnamese food is delicious.,Thức ăn Việt Nam rất ngon.,A1
give,/ɡɪv/,verb,to hand something to someone,đưa / tặng,She gives flowers to her mother.,Cô ấy tặng hoa cho mẹ.,A1
hot,/hɒt/,adjective,having a high temperature,nóng,The soup is very hot.,Canh rất nóng.,A1
important,/ɪmˈpɔː.tənt/,adjective,having great effect or value,quan trọng,Sleep is important for health.,Giấc ngủ rất quan trọng cho sức khỏe.,A1
kitchen,/ˈkɪtʃ.ɪn/,noun,the room where food is cooked,nhà bếp,Mother is cooking in the kitchen.,Mẹ đang nấu ăn trong bếp.,A1
loud,/laʊd/,adjective,making a lot of noise,ồn ào,The music is too loud.,Âm nhạc quá ồn.,A1
money,/ˈmʌn.i/,noun,coins or notes used to pay for things,tiền,I need money to buy food.,Tôi cần tiền để mua thức ăn.,A1
number,/ˈnʌm.bər/,noun,a word or symbol representing a quantity,số,What is your phone number?,Số điện thoại của bạn là gì?,A1
often,/ˈɒf.ən/,adverb,many times or frequently,thường xuyên,He often goes to the gym.,Anh ấy thường xuyên đến phòng tập.,A1
picture,/ˈpɪk.tʃər/,noun,a painting drawing or photograph,bức tranh / ảnh,She took a picture of the mountain.,Cô ấy chụp ảnh ngọn núi.,A1
right,/raɪt/,adjective,correct or true,đúng,Your answer is right.,Câu trả lời của bạn đúng.,A1
sister,/ˈsɪs.tər/,noun,a girl or woman who has the same parents as you,chị / em gái,My sister is two years younger than me.,Em gái tôi nhỏ hơn tôi hai tuổi.,A1
tree,/triː/,noun,a large plant with a thick wooden trunk and branches,cái cây,There is a big tree in the garden.,Có một cây lớn trong vườn.,A1
understand,/ˌʌn.dəˈstænd/,verb,to know the meaning of something,hiểu,Do you understand the question?,Bạn có hiểu câu hỏi không?,A1
voice,/vɔɪs/,noun,the sound made when you speak or sing,giọng nói,She has a beautiful voice.,Cô ấy có giọng hát đẹp.,A1
white,/waɪt/,adjective,having the color of snow or milk,màu trắng,She wears a white dress.,Cô ấy mặc váy trắng.,A1
young,/jʌŋ/,adjective,not having lived or existed for long,trẻ,She looks very young.,Cô ấy trông rất trẻ.,A1
above,/əˈbʌv/,preposition,at a higher level or position than,phía trên,The clock is above the door.,Đồng hồ ở trên cửa.,A2
address,/əˈdres/,noun,the details of where someone lives or works,địa chỉ,What is your home address?,Địa chỉ nhà của bạn là gì?,A2
afternoon,/ˌɑːf.təˈnuːn/,noun,the period from noon to evening,buổi chiều,We meet every afternoon at the cafe.,Chúng tôi gặp nhau mỗi buổi chiều ở quán cà phê.,A2
ago,/əˈɡəʊ/,adverb,in the past,trước đây,I met her two years ago.,Tôi gặp cô ấy hai năm trước.,A2
agree,/əˈɡriː/,verb,to have the same opinion as someone,đồng ý,I agree with your decision.,Tôi đồng ý với quyết định của bạn.,A2
airport,/ˈeə.pɔːt/,noun,a place where aircraft take off and land,sân bay,We arrived at the airport early.,Chúng tôi đến sân bay sớm.,A2
already,/ɔːlˈred.i/,adverb,before a particular time,đã rồi,I have already eaten breakfast.,Tôi đã ăn sáng rồi.,A2
always,/ˈɔːl.weɪz/,adverb,at all times,luôn luôn,She always smiles at everyone.,Cô ấy luôn mỉm cười với mọi người.,A2
angry,/ˈæŋ.ɡri/,adjective,feeling strong displeasure or annoyance,tức giận,He was angry when he lost the game.,Anh ấy tức giận khi thua cuộc.,A2
answer,/ˈɑːn.sər/,noun,a reply to a question,câu trả lời,Please write your answer clearly.,Vui lòng viết câu trả lời rõ ràng.,A2
arrive,/əˈraɪv/,verb,to reach a place after traveling,đến nơi,The train arrives at nine o'clock.,Tàu đến lúc chín giờ.,A2
ask,/ɑːsk/,verb,to request information or help,hỏi,She asked for directions to the station.,Cô ấy hỏi đường đến ga.,A2
bad,/bæd/,adjective,of poor quality or low standard,xấu / tệ,The weather is bad today.,Thời tiết hôm nay xấu.,A2
bag,/bæɡ/,noun,a container used for carrying things,túi xách,She carries her books in a bag.,Cô ấy đựng sách trong túi xách.,A2
bank,/bæŋk/,noun,an institution that holds money for people,ngân hàng,I need to go to the bank today.,Tôi cần đến ngân hàng hôm nay.,A2
bathroom,/ˈbɑːθ.ruːm/,noun,a room with a toilet and bath or shower,phòng tắm,The bathroom is on the second floor.,Phòng tắm ở tầng hai.,A2
beautiful,/ˈbjuː.tɪ.fəl/,adjective,very pleasant to look at,đẹp,The flowers are beautiful.,Những bông hoa thật đẹp.,A2
because,/bɪˈkɒz/,conjunction,for the reason that,bởi vì,I stayed home because I was sick.,Tôi ở nhà vì tôi bị ốm.,A2
bedroom,/ˈbed.ruːm/,noun,a room used for sleeping,phòng ngủ,My bedroom is painted blue.,Phòng ngủ của tôi được sơn màu xanh.,A2
begin,/bɪˈɡɪn/,verb,to start doing something,bắt đầu,The class begins at eight o'clock.,Lớp học bắt đầu lúc tám giờ.,A2
behind,/bɪˈhaɪnd/,preposition,at the back of something,đằng sau,The garden is behind the house.,Vườn ở đằng sau nhà.,A2
between,/bɪˈtwiːn/,preposition,in the middle of two things,giữa,The post office is between the bank and the school.,Bưu điện ở giữa ngân hàng và trường học.,A2
big,/bɪɡ/,adjective,large in size,lớn,They live in a big apartment.,Họ sống trong một căn hộ lớn.,A2
birthday,/ˈbɜːθ.deɪ/,noun,the anniversary of the day you were born,sinh nhật,Happy birthday to you!,Chúc mừng sinh nhật bạn!,A2
black,/blæk/,adjective,having the darkest color like coal,màu đen,He wears a black jacket.,Anh ấy mặc áo khoác đen.,A2
blue,/bluː/,adjective,having the color of a clear sky,màu xanh da trời,The sky is bright blue today.,Bầu trời xanh trong hôm nay.,A2
born,/bɔːn/,verb,came into the world at birth,được sinh ra,She was born in Hanoi.,Cô ấy sinh ra ở Hà Nội.,A2
borrow,/ˈbɒr.əʊ/,verb,to take something with the intention of returning it,mượn,Can I borrow your dictionary?,Tôi có thể mượn từ điển của bạn không?,A2
bread,/bred/,noun,a food made from flour water and yeast,bánh mì,She buys fresh bread every morning.,Cô ấy mua bánh mì tươi mỗi sáng.,A2
break,/breɪk/,noun,a short period of rest from work,giải lao,We have a ten-minute break.,Chúng ta có mười phút giải lao.,A2
bring,/brɪŋ/,verb,to take something with you when you come,mang theo,Please bring your passport.,Vui lòng mang theo hộ chiếu.,A2
brother,/ˈbrʌð.ər/,noun,a boy or man who has the same parents as you,anh / em trai,My brother is a doctor.,Anh trai tôi là bác sĩ.,A2
buy,/baɪ/,verb,to get something by paying money,mua,I want to buy a new laptop.,Tôi muốn mua một chiếc laptop mới.,A2
call,/kɔːl/,verb,to telephone someone,gọi điện,Call me when you arrive.,Gọi cho tôi khi bạn đến.,A2
camp,/kæmp/,noun,a place where people stay outdoors,trại cắm trại,We stayed at a camp near the river.,Chúng tôi ở lại tại trại gần sông.,A2
carry,/ˈkær.i/,verb,to hold something and take it somewhere,mang,She carries her baby everywhere.,Cô ấy mang con đi khắp nơi.,A2
change,/tʃeɪndʒ/,verb,to become different,thay đổi,The weather can change quickly.,Thời tiết có thể thay đổi nhanh chóng.,A2
cheap,/tʃiːp/,adjective,low in price,rẻ,This restaurant is very cheap.,Nhà hàng này rất rẻ.,A2
check,/tʃek/,verb,to examine something to see if it is correct,kiểm tra,Check your answers before submitting.,Kiểm tra câu trả lời trước khi nộp.,A2
choose,/tʃuːz/,verb,to decide which one you want,chọn,She chose a red dress.,Cô ấy chọn một chiếc váy đỏ.,A2
class,/klɑːs/,noun,a group of students taught together,lớp học,There are thirty students in my class.,Có ba mươi học sinh trong lớp tôi.,A2
clean,/kliːn/,adjective,free from dirt,sạch sẽ,Keep your desk clean.,Giữ bàn học của bạn sạch sẽ.,A2
climb,/klaɪm/,verb,to go up something using your hands and feet,leo trèo,They climbed the mountain together.,Họ leo núi cùng nhau.,A2
clock,/klɒk/,noun,a device used to tell the time,đồng hồ treo tường,The clock on the wall says it is noon.,Đồng hồ treo tường cho biết là giờ trưa.,A2
close,/kləʊz/,verb,to shut something,đóng,Please close the door softly.,Vui lòng đóng cửa nhẹ nhàng.,A2
clothes,/kləʊðz/,noun,items worn on the body,quần áo,She buys new clothes for the festival.,Cô ấy mua quần áo mới cho lễ hội.,A2
cloud,/klaʊd/,noun,a mass of water vapor floating in the sky,đám mây,Dark clouds mean rain is coming.,Mây đen báo hiệu trời sắp mưa.,A2
coffee,/ˈkɒf.i/,noun,a hot drink made from coffee beans,cà phê,He drinks two cups of coffee a day.,Anh ấy uống hai tách cà phê mỗi ngày.,A2
cold,/kəʊld/,adjective,having a low temperature,lạnh,It is very cold in winter.,Mùa đông rất lạnh.,A2
come,/kʌm/,verb,to move toward a place,đến,Come here please.,Lại đây nhé.,A2
comfortable,/ˈkʌm.fɪ.tə.bəl/,adjective,making you feel physically relaxed,thoải mái,This chair is very comfortable.,Chiếc ghế này rất thoải mái.,A2
computer,/kəmˈpjuː.tər/,noun,an electronic device for processing data,máy tính,I use my computer for work.,Tôi dùng máy tính để làm việc.,A2
cook,/kʊk/,verb,to prepare food by heating it,nấu ăn,My father cooks dinner on weekends.,Bố tôi nấu ăn tối vào cuối tuần.,A2
correct,/kəˈrekt/,adjective,free from mistakes,đúng,All your answers are correct.,Tất cả câu trả lời của bạn đều đúng.,A2
count,/kaʊnt/,verb,to say numbers in order,đếm,Count from one to ten.,Đếm từ một đến mười.,A2
country,/ˈkʌn.tri/,noun,a nation with its own government,đất nước,Vietnam is a beautiful country.,Việt Nam là một đất nước tươi đẹp.,A2
course,/kɔːs/,noun,a series of lessons on a subject,khóa học,I am taking an English course.,Tôi đang học một khóa tiếng Anh.,A2
cry,/kraɪ/,verb,to produce tears from your eyes,khóc,The baby cries when she is hungry.,Em bé khóc khi đói.,A2
cut,/kʌt/,verb,to divide something using a sharp tool,cắt,Cut the cake into eight pieces.,Cắt bánh thành tám miếng.,A2
dance,/dɑːns/,verb,to move your body rhythmically to music,nhảy múa,She loves to dance at parties.,Cô ấy thích nhảy múa ở các bữa tiệc.,A2
dangerous,/ˈdeɪn.dʒər.əs/,adjective,likely to cause harm,nguy hiểm,Driving fast is dangerous.,Lái xe nhanh rất nguy hiểm.,A2
dark,/dɑːk/,adjective,with little or no light,tối,It gets dark early in winter.,Trời tối sớm vào mùa đông.,A2
decide,/dɪˈsaɪd/,verb,to make a choice,quyết định,She decided to study medicine.,Cô ấy quyết định học y.,A2
desk,/desk/,noun,a table used for writing or working at,bàn làm việc,His desk is covered with papers.,Bàn làm việc của anh ấy đầy giấy tờ.,A2
different,/ˈdɪf.ər.ənt/,adjective,not the same as something else,khác nhau,These two words have different meanings.,Hai từ này có nghĩa khác nhau.,A2
difficult,/ˈdɪf.ɪ.kəlt/,adjective,not easy to do or understand,khó,This math problem is difficult.,Bài toán này rất khó.,A2
dinner,/ˈdɪn.ər/,noun,the main meal of the day eaten in the evening,bữa tối,We have dinner at seven.,Chúng tôi ăn tối lúc bảy giờ.,A2
direction,/dɪˈrek.ʃən/,noun,the path along which something moves,hướng,Follow the direction on the map.,Đi theo hướng trên bản đồ.,A2
dirty,/ˈdɜː.ti/,adjective,not clean,bẩn,Wash your dirty hands.,Rửa tay bẩn của bạn đi.,A2
dream,/driːm/,noun,thoughts and images that occur during sleep,giấc mơ,I had a strange dream last night.,Tôi có một giấc mơ kỳ lạ tối qua.,A2
dress,/dres/,noun,a piece of clothing worn by women,chiếc váy,She wears a pretty dress.,Cô ấy mặc một chiếc váy đẹp.,A2
drink,/drɪŋk/,verb,to take liquid into your mouth and swallow it,uống,Drink eight glasses of water daily.,Uống tám ly nước mỗi ngày.,A2
drive,/draɪv/,verb,to control a vehicle and make it move,lái xe,He drives to work every day.,Anh ấy lái xe đi làm mỗi ngày.,A2
easy,/ˈiː.zi/,adjective,not difficult,dễ,The test was easy for me.,Bài kiểm tra dễ đối với tôi.,A2
enjoy,/ɪnˈdʒɔɪ/,verb,to get pleasure from something,thích / tận hưởng,I enjoy reading in the evening.,Tôi thích đọc sách vào buổi tối.,A2
enough,/ɪˈnʌf/,adjective,as much as is needed,đủ,Have you had enough food?,Bạn đã ăn đủ chưa?,A2
enter,/ˈen.tər/,verb,to go into a place,vào,Please enter through the main door.,Vui lòng vào qua cửa chính.,A2
evening,/ˈiːv.nɪŋ/,noun,the period at the end of the afternoon,buổi tối,We go for a walk in the evening.,Chúng tôi đi dạo vào buổi tối.,A2
everyone,/ˈev.ri.wʌn/,pronoun,all the people in a group,mọi người,Everyone in the class passed the test.,Mọi người trong lớp đều đậu bài kiểm tra.,A2
everything,/ˈev.ri.θɪŋ/,pronoun,all things,mọi thứ,Everything is ready for the party.,Mọi thứ đã sẵn sàng cho bữa tiệc.,A2
example,/ɪɡˈzɑːm.pəl/,noun,something that shows what others are like,ví dụ,Give me an example of a verb.,Cho tôi một ví dụ về động từ.,A2
exercise,/ˈek.sə.saɪz/,noun,physical activity done to stay healthy,thể dục,Regular exercise keeps you healthy.,Tập thể dục thường xuyên giúp bạn khỏe mạnh.,A2
expensive,/ɪkˈspen.sɪv/,adjective,costing a lot of money,đắt tiền,That car is very expensive.,Chiếc ô tô đó rất đắt tiền.,A2
explain,/ɪkˈspleɪn/,verb,to make something clear and understandable,giải thích,Can you explain this word?,Bạn có thể giải thích từ này không?,A2
fall,/fɔːl/,verb,to drop down to a lower position,ngã / rơi,Be careful not to fall.,Cẩn thận đừng ngã.,A2
far,/fɑːr/,adjective,at a great distance,xa,The school is not far from here.,Trường không xa đây lắm.,A2
fast,/fɑːst/,adjective,moving or happening quickly,nhanh,The train is very fast.,Tàu hỏa rất nhanh.,A2
father,/ˈfɑː.ðər/,noun,a male parent,người cha,My father is an engineer.,Bố tôi là kỹ sư.,A2
feel,/fiːl/,verb,to experience a particular emotion or sensation,cảm thấy,I feel tired after work.,Tôi cảm thấy mệt mỏi sau khi làm việc.,A2
find,/faɪnd/,verb,to discover something or someone,tìm thấy,I cannot find my keys.,Tôi không thể tìm thấy chìa khóa.,A2
finish,/ˈfɪn.ɪʃ/,verb,to complete something,hoàn thành,Did you finish your homework?,Bạn đã hoàn thành bài tập về nhà chưa?,A2
fish,/fɪʃ/,noun,an animal that lives and swims in water,con cá,She cooks fish for dinner.,Cô ấy nấu cá cho bữa tối.,A2
floor,/flɔːr/,noun,the surface you walk on inside a building,sàn nhà,The floor is very slippery.,Sàn nhà rất trơn.,A2
flower,/ˈflaʊ.ər/,noun,the colorful part of a plant,bông hoa,She bought red flowers for her mother.,Cô ấy mua hoa đỏ cho mẹ.,A2
fly,/flaɪ/,verb,to move through the air,bay,The plane flies from Hanoi to London.,Máy bay bay từ Hà Nội đến London.,A2
follow,/ˈfɒl.əʊ/,verb,to go behind someone or something,theo sau / làm theo,Follow the instructions carefully.,Làm theo hướng dẫn cẩn thận.,A2
forget,/fəˈɡet/,verb,to fail to remember something,quên,Don't forget to call me.,Đừng quên gọi cho tôi.,A2
free,/friː/,adjective,not costing anything,miễn phí,The museum is free on Sundays.,Bảo tàng miễn phí vào ngày Chủ nhật.,A2
fresh,/freʃ/,adjective,recently made or obtained,tươi,The bread is fresh from the oven.,Bánh mì tươi ra lò.,A2
funny,/ˈfʌn.i/,adjective,making you laugh,buồn cười,He told a funny story.,Anh ấy kể một câu chuyện buồn cười.,A2
garden,/ˈɡɑː.dən/,noun,an outdoor area with plants and grass,khu vườn,She grows vegetables in the garden.,Cô ấy trồng rau trong vườn.,A2
get,/ɡet/,verb,to obtain or receive something,lấy / nhận,Can you get me a glass of water?,Bạn có thể lấy cho tôi một ly nước không?,A2
glasses,/ˈɡlɑː.sɪz/,noun,a device with lenses worn to improve vision,kính mắt,She wears glasses to read.,Cô ấy đeo kính khi đọc sách.,A2
great,/ɡreɪt/,adjective,very good or excellent,tuyệt vời,You did a great job!,Bạn làm rất tốt!,A2
green,/ɡriːn/,adjective,having the color of grass,màu xanh lá,She wears a green coat.,Cô ấy mặc áo khoác xanh lá.,A2
grow,/ɡrəʊ/,verb,to increase in size or amount,lớn lên / phát triển,Children grow quickly.,Trẻ em lớn nhanh.,A2
guess,/ɡes/,verb,to give an answer without being sure,đoán,I can only guess the answer.,Tôi chỉ có thể đoán câu trả lời.,A2
hard,/hɑːd/,adjective,requiring great effort,khó / vất vả,She worked hard for the exam.,Cô ấy học chăm chỉ cho kỳ thi.,A2
hat,/hæt/,noun,a covering for the head,cái mũ,Wear a hat in the hot sun.,Đội mũ khi trời nắng nóng.,A2
high,/haɪ/,adjective,at a great distance above the ground,cao,The building is very high.,Tòa nhà rất cao.,A2
hold,/həʊld/,verb,to have something in your hand,cầm / giữ,Hold my hand while crossing the street.,Cầm tay tôi khi qua đường.,A2
holiday,/ˈhɒl.ɪ.deɪ/,noun,a period of time away from school or work,kỳ nghỉ,We are going on holiday next week.,Chúng tôi đi nghỉ mát tuần sau.,A2
home,/həʊm/,noun,the place where you live,nhà,She came home late.,Cô ấy về nhà muộn.,A2
hospital,/ˈhɒs.pɪ.təl/,noun,a place where sick people are treated,bệnh viện,He went to the hospital for a check-up.,Anh ấy đến bệnh viện để kiểm tra sức khỏe.,A2
hotel,/həʊˈtel/,noun,a place where travelers pay to stay,khách sạn,We stayed at a nice hotel.,Chúng tôi ở tại một khách sạn đẹp.,A2
hour,/aʊər/,noun,a period of sixty minutes,giờ,The flight takes two hours.,Chuyến bay mất hai giờ.,A2
hungry,/ˈhʌŋ.ɡri/,adjective,feeling a need to eat,đói,I am very hungry.,Tôi rất đói.,A2
hurry,/ˈhʌr.i/,verb,to move or act quickly,vội vàng,Hurry up or we will be late.,Nhanh lên không chúng ta sẽ bị trễ.,A2
husband,/ˈhʌz.bənd/,noun,the man a woman is married to,người chồng,Her husband is very kind.,Chồng cô ấy rất tốt bụng.,A2
information,/ˌɪn.fəˈmeɪ.ʃən/,noun,facts or knowledge about something,thông tin,I need more information about this topic.,Tôi cần thêm thông tin về chủ đề này.,A2
interest,/ˈɪn.trəst/,noun,a feeling of wanting to know or learn,sự quan tâm,She has an interest in music.,Cô ấy có hứng thú với âm nhạc.,A2
invite,/ɪnˈvaɪt/,verb,to ask someone to come to an event,mời,She invited me to her birthday party.,Cô ấy mời tôi đến bữa tiệc sinh nhật.,A2
keep,/kiːp/,verb,to continue to have something,giữ,Keep your room tidy.,Giữ phòng của bạn gọn gàng.,A2
kind,/kaɪnd/,adjective,caring and generous,tốt bụng,She is very kind to animals.,Cô ấy rất tốt bụng với động vật.,A2
