text,phonetic,part_of_speech,definition_en,definition_vi,example_en,example_vi,level,image_url
beauty,,n.,,"vẻ đẹp, cái đẹp; người đẹp",,,A1,
bed,,n.,,cái giường,,,A1,
been,,,,"thì, là",,,A1,
before,,"prep., conj., adv.",,"trước, đằng trước",,,A1,
began,,,,"bắt đầu, mở đầu, khởi đầu",,,A1,
begin,,v.,,"bắt đầu, khởi đầu",,,A1,
behind,,"prep., adv.",,"sau, tại đằng sau",,,A1,
believe,,v.,,"tin, tin tưởng",,,A1,
bell,,n.,,"cái chuông, tiếng chuông",,,A1,
best,/best/,,,tốt nhất,,,A1,
better,,,,tốt hơn,,,A1,
between,,"prep., adv.",,"giữa, tại giữa",,,A1,
big,,adj.,,"to, lớn",,,A1,
bird,,n.,,chim,,,A1,
bit,,n.,,"miếng, mảnh",,,A1,
black,,"adj., n.",,đen; màu đen,,,A1,
block,,"n., v.",,"khối, tảng (đá); làm ngăn cản, ngăn chặn",,,A1,
blood,,n.,,"máu, huyết; sự tàn sát, chem giết",,,A1,
blow,,"v., n.",,nở hoa; sự nở hoa,,,A1,
blue,/bluː/,"adj., n.",,"xanh, màu xanh",,,A1,
board,,"n., v.",,"tấm ván; lát ván, lót ván",,,A1,
boat,,n.,,"tàu, thuyền",,,A1,
body,,n.,,"thân thể, thân xác",,,A1,
bone,,n.,,xương,,,A1,
book,,"n., v.",,sách; ghi chép,,,A1,
born,,v.,,"sinh, đẻ",,,A1,
both,,"det., pron.",,cả hai,,,A1,
bottom,,"n., adj.",,"phần trong cùng, thấp nhất; cuối, cuối cùng",,,A1,
bought,,,,mua,,,A1,
box,,n.,,"hộp, thùng",,,A1,
boy,,n.,,"con trai, thiếu niên",,,A1,
branch,,n.,,"ngành; nhành cây, nhánh song, ngả đường",,,A1,
bread,,n.,,bánh mỳ,,,A1,
break,,"v., n.",,"bẻ gãy, đập vỡ; sự gãy, sự vỡ",,,A1,
bright,,adj.,,"sáng, sáng chói",,,A1,
bring,,v.,,"mang, cầm, xách lại",,,A1,
broad,,adj.,,rộng,,,A1,
brother,,n.,,"anh, em trai",,,A1,
brought,,,,"cầm lại, đem đến, đem lại, xách lại, đưa lại",,,A1,
brown,,"adj., n.",,"nâu, màu nâu",,,A1,
build,,v.,,xây dựng,,,A1,
burn,,v.,,"đốt, đốt cháy, thắp, nung, thiêu",,,A1,
busy,,adj.,,"bận, bận rộn",,,A1,
but,,conj.,,nhưng,,,A1,
buy,,v.,,mua,,,A1,
by,,"prep., adv.",,"bởi, bằng",,,A1,
call,,"v., n.",,"gọi; tiếng kêu, tiếng gọi",,,A1,
camp,,"n., v.",,"trại, chỗ cắm trại; cắm trại, hạ trại",,,A1,
can,,"modal v., n.",,"có thể; nhà tù, nhà giam, bình, ca đựng",,,A1,
capital,,"n., adj.",,"thủ đô, tiền vốn; chủ yếu, chính yếu, cơ bản",,,A1,
captain,,n.,,"người cầm đầu, người chỉ huy, thủ lĩnh",,,A1,
car,,n.,,xe hơi,,,A1,
card,,n.,,"thẻ, thiếp",,,A1,
care,,"n., v.",,"sự chăm sóc, chăm nom; chăm sóc",,,A1,
carry,,v.,,"mang, vác, khuân chở",,,A1,
case,,n.,,"vỏ, ngăn, túi",,,A1,
cat,,n.,,con mèo,,,A1,
catch,,v.,,"bắt lấy, nắm lấy, tóm lấy, chộp lấy",,,A1,
caught,,,,"sự bắt, sự nắm lấy; cái bắt, cái vồ, cái chộp",,,A1,
cause,,"n., v.",,"lý do, nguyên do; gây ra, gây nên",,,A1,
cell,,n.,,"ô, ngăn",,,A1,
cent,,n. (abbr. c ct,,) đồng xu (=1/100 đô la),,,A1,
center,/ˈsen.tər/,"từ Mỹ,nghĩa Mỹ",,(như) centre,,,A1,
century,,n.,,thế kỷ,,,A1,
certain,,"adj., pron.",,chắc chắn,,,A1,
chair,,n.,,ghế,,,A1,
chance,,n.,,"tʃɑ:ns/, sự may mắn",,,A1,
change,,"v., n.",,"thay đổi, sự thay đổi, sự biến đổi",,,A1,
character,,n.,,"tính cách, đặc tính, nhân vật;",,,A1,
charge,,"n., v.",,"nhiệm vụ, trách nhiệm, trách nhiệm; giao nhiệm vụ, giao việc",,,A1,
chart,,"n., v.",,"đồ thị, biểu đồ; thiết kế đồ thị, lập biểu đồ",,,A1,
check,,"v., n.",,kiểm tra; sự kiểm tra,,,A1,
chick,,,,gà con; chim con;,,,A1,
chief,,"adj., n.",,"trọng yếu, chính yếu; thủ lĩnh, lãnh tụ, người đầu bảng, xếp",,,A1,
child,,n.,,"đứa bé, đứa trẻ",,,A1,
children,,,,"đứa bé, đứa trẻ",,,A1,
choose,,v.,,"chọn, lựa chọn",,,A1,
chord,,thơ ca,,dây (đàn hạc),,,A1,
circle,,n.,,"đường tròn, hình tròn",,,A1,
city,,n.,,thành phố,,,A1,
claim,,"v., n.",,"đòi hỏi, yêu sách; sự đòi hỏi, sự yêu sách, sự thỉnh cầu",,,A1,
class,,n.,,lớp học,,,A1,
clean,,"adj., v.",,"sạch, sạch sẽ",,,A1,
clear,,"adj., v.",,"rõ ràng, sạch",,,A1,
climb,,v.,,"leo, trèo",,,A1,
clock,,n.,,đồng hồ,,,A1,
close,,"adj., v.",,"đóng kín, chật chội, che giấu, đóng, khép, chấm dứt, chấm dứt",,,A1,
clothe,,,,mặc quần áo cho,,,A1,
cloud,/klaʊd/,n.,,"mây, đám mây",,,A1,
coast,,n.,,sự lao dốc; bờ biển,,,A1,
coat,,n.,,áo choàng,,,A1,
cold,,"adj., n.",,"lạnh, sự lạnh lẽo, lạnh nhạt",,,A1,
collect,,v.,,"sưu tập, quy tụ lại",,,A1,
colony,,,,thuộc địa,,,A1,
color,/ˈkʌl.ər/,"từ Mỹ,nghĩa Mỹ",,(như) colour,,,A1,
column,,n.,,"cột, mục (báo)",,,A1,
come,,v.,,"đến, tới, đi đến, đi tới",,,A1,
common,,adj.,,"công, công cộng, thông thường, phổ biến",,,A1,
company,,n.,,công ty,,,A1,
compare,,v.,,"so sánh, đối chiếu",,,A1,
complete,,"adj., v.",,"hoàn tất, xong",,,A1,
condition,,n.,,"điều kiện, tình cảnh, tình thế",,,A1,
connect,,v.,,"kết nối, nối",,,A1,
consider,,v.,,"cân nhắc, tham quan xét; quan tâm, để ý, lưu ý đến",,,A1,
consonant,,âm nhạc,,"thuận tai, êm ái, du dương",,,A1,
contain,,v.,,"bao hàm, bỏ cất, bao gồm",,,A1,
continent,,n.,,"lục địa, đại lục (lục địa Bắc Mỹ)",,,A1,
continue,,v.,,"tiếp tục, làm tiếp",,,A1,
control,,"n., v.",,"sự điều khiển, quyền hành, quyền lực, quyền chỉ huy",,,A1,
cook,,"v., n.",,"nấu ăn, người nấu ăn",,,A1,
cool,,"adj., v.",,"mát mẻ, điềm tĩnh; làm mát",,,A1,
copy,,"n., v.",,"bản sao, bản chép lại; sự sao chép; sao chép, bắt chước",,,A1,
corn,,,,chai (chân),,,A1,
corner,,n.,,"góc (tường, nhà, phố...)",,,A1,
correct,,"adj., v.",,"đúng, chính xác; sửa, sửa chữa",,,A1,
cost,,"n., v.",,"giá, chi phí; trả giá, phải trả",,,A1,
cotton,,n.,,"bông, chỉ, sợi",,,A1,
could,,,,"có thể, có khả năng",,,A1,
count,,v.,,"đếm, tính",,,A1,
country,,n.,,"nước, đất nước, đất nước",,,A1,
course,,n.,,"tiến trình, quá biểu diễn tiến; sân chạy đua",,,A1,
cover,,"v., n.",,"bao bọc, che phủ; vỏ, vỏ bọc",,,A1,
cow,,n.,,con bò cái,,,A1,
crease,,,,"nếp nhăn, nếp gấp",,,A1,
create,,v.,,"sáng tạo, tạo nên",,,A1,
crop,,n.,,vụ mùa,,,A1,
cross,,"n., v.",,"cây Thánh Giá, nỗi thống khổ; sự băng qua; băng qua, vượt qua",,,A1,
crowd,,n.,,đám đông,,,A1,
cry,,"v., n.",,"khóc, kêu la; sự khóc, tiếng khóc, sự kêu la",,,A1,
current,,"adj., n.",,"hiện hành, phổ biến, hiện nay; loại (nước), luống (gió)",,,A1,
cut,,"v., n.",,"cắt, chặt; sự cắt",,,A1,
dad,,n.,,"bố, cha",,,A1,
dance,,"n., v.",,"sự nhảy múa, sự khiêu vũ; nhảy múa, khiêu vũ",,,A1,
danger,,n.,,"sự nguy hiểm, mối hiểm nghèo; nguy cơ, mối đe dọa",,,A1,
dark,,"adj., n.",,"tối, tối tăm; bóng tối, ám muội",,,A1,
day,,n.,,"ngày, ban ngày",,,A1,
dead,,adj.,,"chết, tắt",,,A1,
deal,,"v., n.",,"phân phát, phân phối; sự giao dịch, thỏa thuận sắm bán",,,A1,
dear,,adj.,,"thân, thân yêu, thân mến; kính thưa, thưa",,,A1,
death,,n.,,"sự chết, cái chết",,,A1,
decide,,v.,,"quyết định, khắc phục, phân xử",,,A1,
decimal,,toán học,,thập phân,,,A1,
deep,,"adj., adv.",,"sâu, khó lường, bí ẩn",,,A1,
degree,,n.,,"mức độ, trình độ; bằng cấp; độ",,,A1,
depend,,"+ on, upon",,"phụ thuộc, tuỳ thuộc, tuỳ thuộc",,,A1,
describe,,v.,,"diễn tả, mô tả, mô tả;",,,A1,
desert,,"n., v.",,"sa mạc; công lao, giá trị; rời đựng, đựng trốn",,,A1,
design,,"n., v.",,"sự mẫu mã, kế hoạch, đề cương. phác thảo; phác họa, thiết kế",,,A1,
determine,,v.,,"xác định, định rõ; quyết định",,,A1,
develop,,v.,,"phát triển, mở rộng; trình bày, bày tỏ",,,A1,
dictionary,,n.,,từ điển,,,A1,
die,,v.,,"chết, từ trần, hy sinh",,,A1,
differ,,(thường,,"+ from) khác, không giống",,,A1,
difficult,,adj.,,"khó, hạn chế, gay go",,,A1,
direct,,"adj., v.",,"trực tiếp, thẳng, thẳng thắn; gửi, viết cho người nào, điều khiển",,,A1,
discuss,,v.,,"bàn bạc, tranh luận",,,A1,
distant,,,,"xa, cách, xa cách",,,A1,
divide,,v.,,"chia, chia ra, phân loại",,,A1,
division,,n.,,"sự chia, sự phân chia, sự phân loại",,,A1,
do,,"v., auxiliary v.",,"làm, làm",,,A1,
doctor,,n. (abbr. Dr,,") bác sĩ y khoa, tiến sĩ",,,A1,
does,,,,"hươu cái, hoãng cái; nai cái",,,A1,
dog,,n.,,chó,,,A1,
dollar,,n.,,USD Mỹ,,,A1,
done,,,,"xong, hoàn tất, đã thực hiện",,,A1,
door,,n.,,"cửa, cửa ra vào",,,A1,
double,,"adj., det., adv., v.",,"đôi, hai, kép; cái gấp đôi, lượng gấp đôi; làm gấp đôi",,,A1,
down,/daʊn/,"adv., prep.",,xuống,,,A1,
draw,,v.,,"thiết kế, kéo",,,A1,
dream,,"n., v.",,"giấc mơ, mơ",,,A1,
dress,,"n., v.",,"quần áo, mặc (quần áo), ăn mặc",,,A1,
drink,,"n., v.",,đồ uống; uống,,,A1,
drive,,"v., n.",,"lái, đua xe; cuộc đua xe (điều khiển)",,,A1,
drop,,"v., n.",,"chảy ít giọt, rơi, rớt; giọt (nước, máu...)",,,A1,
dry,,"adj., v.",,"khô, cạn; làm khô, sấy khô",,,A1,
duck,,,,"con vịt, vịt cái",,,A1,
during,,prep.,,"dưới lúc, dưới thời gian",,,A1,
each,,"det., pron.",,mỗi,,,A1,
ear,,n.,,tai,,,A1,
early,,"adj., adv.",,sớm,,,A1,
earth,,n.,,trái đất,,,A1,
ease,,"n., v.,",,"sự thư thái, thoải mái",,,A1,
east,,"n., adj., adv.",,hướng đông,,,A1,
eat,,v.,,ăn,,,A1,
edge,,n.,,"lưỡi, cạnh sắc",,,A1,
effect,,n.,,"hiệu ứng, kết quả",,,A1,
egg,,n.,,trứng,,,A1,
eight,,,,tám,,,A1,
either,,"det., pron., adv.",,"mỗi, một",,,A1,
electric,,adj.,,thuộc điện,,,A1,
element,,n.,,yếu tố,,,A1,
else,,adv.,,"khác, nữa",,,A1,
end,,"n., v.",,"giới hạn, kết thúc",,,A1,
enemy,,n.,,kẻ thù,,,A1,
energy,,n.,,năng lượng,,,A1,
engine,,n.,,động cơ,,,A1,
enough,,"det., pron., adv.",,đủ,,,A1,
enter,,v.,,đi vào,,,A1,
equal,,"adj., n., v.",,"ngang, bằng",,,A1,
equate,,,,làm cân bằng,,,A1,
especially,,adv.,,đặc biệt là,,,A1,
even,,"adv., adj.",,ngay cả,,,A1,
evening,,n.,,"buổi chiều, tối",,,A1,
event,,n.,,"sự việc, sự kiện",,,A1,
ever,,adv.,,từng,,,A1,
every,,det.,,"mỗi, mọi",,,A1,
exact,,adj.,,chính xác,,,A1,
example,,n.,,ví dụ,,,A1,
except,,"prep., conj.",,trừ ra,,,A1,
excite,,v.,,kích thích,,,A1,
exercise,,"n., v.",,"bài tập, thực hiện",,,A1,
expect,,v.,,chờ đợi,,,A1,
experience,,"n., v.",,kinh nghiệm,,,A1,
experiment,,"n., v.",,thí nghiệm,,,A1,
eye,,n.,,mắt,,,A1,
face,,"n., v.",,"mặt, đối phó",,,A1,
fact,,n.,,sự kiện,,,A1,
fair,,adj.,,công bằng,,,A1,
fall,,"v., n.",,"rơi, ngã",,,A1,
family,,"n., adj.",,gia đình,,,A1,
famous,,adj.,,nổi tiếng,,,A1,
far,,"adv., adj.",,xa,,,A1,
farm,,n.,,trang trại,,,A1,
fast,,"adj., adv.",,nhanh,,,A1,
fat,,"adj., n.",,béo,,,A1,
father,,n.,,cha,,,A1,
favor,,,,sự quý mến,,,A1,
fear,,"n., v.",,sự sợ hãi,,,A1,
feed,,v.,,cho ăn,,,A1,
feel,,v.,,cảm thấy,,,A1,
feet,,,,bàn chân,,,A1,
fell,,,,da lông,,,A1,
felt,,,,"nỉ, phớt",,,A1,
few,,"det., adj., pron.",,"vài, một ít",,,A1,
field,,n.,,cánh đồng,,,A1,
fig,,,,quả sung,,,A1,
fight,,"v., n.",,đấu tranh,,,A1,
figure,,"n., v.",,"hình dáng, nhân vật",,,A1,
fill,,v.,,làm đầy,,,A1,
final,,"adj., n.",,chung cuộc,,,A1,
find,,v.,,tìm thấy,,,A1,
fine,,adj.,,tốt,,,A1,
finger,,n.,,ngón tay,,,A1,
finish,,"v., n.",,hoàn thành,,,A1,
fire,,"n., v.",,lửa,,,A1,
first,,det.,,đầu tiên,,,A1,
fish,,"n., v.",,cá,,,A1,
fit,,"v., adj.",,vừa vặn,,,A1,
five,,,,năm,,,A1,
flat,,"adj., n.",,bằng phẳng,,,A1,
floor,,n.,,sàn nhà,,,A1,
flow,,"n., v.",,dòng chảy,,,A1,
flower,,n.,,hoa,,,A1,
fly,,"v., n.",,bay,,,A1,
follow,,v.,,đi theo,,,A1,
food,,n.,,thức ăn,,,A1,
foot,,n.,,bàn chân,,,A1,
for,,prep.,,cho,,,A1,
force,,"n., v.",,sức mạnh,,,A1,
forest,,n.,,khu rừng,,,A1,
form,,"n., v.",,hình thức,,,A1,
forward,,"adv., adj.",,tiến tới,,,A1,
found,,v.,,tìm thấy,,,A1,
four,,,,bốn,,,A1,
fraction,,,,phân số,,,A1,
free,,"adj., v., adv.",,tự do,,,A1,
fresh,,adj.,,tươi mới,,,A1,
friend,,n.,,bạn bè,,,A1,
from,,prep.,,từ,,,A1,
front,,"n., adj.",,phía trước,,,A1,
fruit,,n.,,trái cây,,,A1,
full,,adj.,,đầy đủ,,,A1,
fun,,"n., adj.",,vui vẻ,,,A1,
game,,n.,,trò chơi,,,A1,
garden,,n.,,khu vườn,,,A1,
gas,,n.,,khí ga,,,A1,
gather,,v.,,tập hợp,,,A1,
gave,,,,đã cho,,,A1,
general,,adj.,,chung,,,A1,
gentle,,adj.,,dịu dàng,,,A1,
get,,v.,,lấy được,,,A1,
girl,,n.,,cô gái,,,A1,
give,,v.,,"đưa, cho",,,A1,
glad,,adj.,,vui mừng,,,A1,
glass,,n.,,"kính, ly",,,A1,
go,,v.,,đi,,,A1,
gold,,"n., adj.",,vàng bạc,,,A1,
gone,,,,đã đi,,,A1,
good,,"adj., n.",,tốt,,,A1,
govern,,v.,,cai quản,,,A1,
grand,,adj.,,to lớn,,,A1,
grass,,n.,,bãi cỏ,,,A1,
gray,,,,xám,,,A1,
great,,adj.,,tuyệt vời,,,A1,
green,,"adj., n.",,xanh lá,,,A1,
grew,,,,đã mọc,,,A1,
ground,,n.,,mặt đất,,,A1,
group,,n.,,nhóm,,,A1,
grow,,v.,,lớn lên,,,A1,
guess,,"v., n.",,phỏng đoán,,,A1,
guide,,"n., v.",,hướng dẫn,,,A1,
gun,,n.,,súng,,,A1,
had,,,,đã có,,,A1,
hair,,n.,,tóc,,,A1,
half,,"n., det., pron., adv.",,một nửa,,,A1,
hand,,"n., v.",,bàn tay,,,A1,
happen,,v.,,xảy ra,,,A1,
happy,,adj.,,hạnh phúc,,,A1,
hard,,"adj., adv.",,khó khăn,,,A1,
has,,,,có,,,A1,
hat,,n.,,cái mũ,,,A1,
have,,"v., auxiliary v.",,có,,,A1,
he,,pron.,,anh ấy,,,A1,
head,,"n., v.",,cái đầu,,,A1,
hear,,v.,,nghe,,,A1,
heard,,,,đã nghe,,,A1,
heart,,n.,,trái tim,,,A1,
heat,,"n., v.",,sức nóng,,,A1,
heavy,,adj.,,nặng nề,,,A1,
held,,,,đã giữ,,,A1,
help,,"v., n.",,giúp đỡ,,,A1,
her,,"pron., det.",,cô ấy,,,A1,
here,,adv.,,ở đây,,,A1,
high,,"adj., adv.",,cao,,,A1,
hill,,n.,,ngọn đồi,,,A1,
him,,pron.,,anh ấy,,,A1,
his,,"det., pron.",,của anh ấy,,,A1,
history,,n.,,lịch sử,,,A1,
hit,,"v., n.",,đánh trúng,,,A1,
hold,,"v., n.",,giữ lấy,,,A1,
hole,,n.,,cái lỗ,,,A1,
home,,"n., adv.",,nhà,,,A1,
hope,,"v., n.",,hy vọng,,,A1,
horse,,n.,,con ngựa,,,A1,
hot,,adj.,,nóng nực,,,A1,
hour,,n.,,giờ đồng hồ,,,A1,
house,,n.,,ngôi nhà,,,A1,
how,,adv.,,làm sao,,,A1,
huge,,adj.,,khổng lồ,,,A1,
human,,"adj., n.",,con người,,,A1,
hundred,,,,một trăm,,,A1,
hunt,,v.,,săn bắn,,,A1,
hurry,,"v., n.",,nhanh chóng,,,A1,
i,,,,tôi,,,A1,
ice,,n.,,băng đá,,,A1,
idea,,n.,,ý tưởng,,,A1,
if,,conj.,,nếu như,,,A1,
imagine,,v.,,tưởng tượng,,,A1,
in,,"prep., adv.",,bên trong,,,A1,
inch,,n.,,đơn vị inch,,,A1,
include,,v.,,bao gồm,,,A1,
indicate,,v.,,chỉ ra,,,A1,
industry,,n.,,công nghiệp,,,A1,
insect,,n.,,côn trùng,,,A1,
instant,,,,ngay tức khắc,,,A1,
instrument,,n.,,nhạc cụ,,,A1,
interest,,"n., v.",,sự quan tâm,,,A1,
invent,,v.,,phát minh,,,A1,
iron,,"n., v.",,sắt,,,A1,
island,,n.,,hòn đảo,,,A1,
it,,"pron., det.",,nó,,,A1,
keep,,v.,,giữ lại,,,A1,
kept,,,,đã giữ,,,A1,
key,,"n., adj.",,chìa khóa,,,A1,
kill,,v.,,giết chết,,,A1,
kind,,"n., adj.",,"loại, tử tế",,,A1,
king,,n.,,nhà vua,,,A1,
knew,,,,đã biết,,,A1,
know,,v.,,biết,,,A1,
lady,,n.,,quý bà,,,A1,
lake,,n.,,hồ nước,,,A1,
land,,"n., v.",,vùng đất,,,A1,
language,,n.,,ngôn ngữ,,,A1,
large,,adj.,,rộng lớn,,,A1,
last,,"det., adv., n., v.",,cuối cùng,,,A1,
late,,"adj., adv.",,muộn màng,,,A1,
laugh,,"v., n.",,tiếng cười,,,A1,
law,,n.,,luật pháp,,,A1,
lay,,v.,,đặt nằm,,,A1,
lead,,"v., n.",,dẫn dắt,,,A1,
learn,,v.,,học hỏi,,,A1,
least,,"det., pron., adv.",,ít nhất,,,A1,
leave,,v.,,rời đi,,,A1,
left,,"adj., adv., n.",,bên trái,,,A1,
leg,,,,cái chân,,,A1,
length,,n.,,chiều dài,,,A1,
less,,"det., pron., adv.",,ít hơn,,,A1,
let,,v.,,để cho,,,A1,
letter,,n.,,bức thư,,,A1,
level,,"n., adj.",,mức độ,,,A1,
lie,,"v., n.",,nói dối,,,A1,
life,,n.,,cuộc sống,,,A1,
lift,,"v., n.",,nhấc lên,,,A1,
light,,"n., adj., v.",,ánh sáng,,,A1,
like,,"prep., v., conj.",,thích,,,A1,
line,,n.,,dòng kẻ,,,A1,
liquid,,"n., adj.",,chất lỏng,,,A1,
list,,"n., v.",,danh sách,,,A1,
listen,,,,lắng nghe,,,A1,
little,,"adj., det., pron., adv.",,một chút,,,A1,
live,,v.,,sinh sống,,,A1,
locate,,v.,,định vị,,,A1,
log,,,,khúc gỗ,,,A1,
lone,,,,đơn độc,,,A1,
long,,"adj., adv.",,dài,,,A1,
look,,"v., n.",,nhìn xem,,,A1,
lost,,adj.,,thất lạc,,,A1,
lot,,,,nhiều,,,A1,
loud,,"adj., adv.",,to tiếng,,,A1,
low,,"adj., adv.",,thấp,,,A1,
machine,,n.,,máy móc,,,A1,
made,,,,đã làm,,,A1,
magnet,,,,nam châm,,,A1,
main,,adj.,,chính yếu,,,A1,
major,,adj.,,quan trọng,,,A1,
make,,"v., n.",,tạo ra,,,A1,
man,,n.,,đàn ông,,,A1,
many,,"det., pron.",,nhiều,,,A1,
map,,n.,,bản đồ,,,A1,
mark,,"n., v.",,đánh dấu,,,A1,
market,,n.,,chợ,,,A1,
mass,,"n., adj.",,khối lượng,,,A1,
master,,n.,,chủ nhân,,,A1,
match,,"n., v.",,trận đấu,,,A1,
material,,"n., adj.",,nguyên liệu,,,A1,
matter,,"n., v.",,vấn đề,,,A1,
may,,n.,,tháng năm,,,A1,
me,,pron.,,tôi,,,A1,
mean,,v.,,ý nghĩa,,,A1,
meant,,,,đã có ý,,,A1,
measure,,"v., n.",,đo lường,,,A1,
meat,,n.,,thịt,,,A1,
meet,,v.,,gặp gỡ,,,A1,
melody,,,,giai điệu,,,A1,
men,,,,những người đàn ông,,,A1,
metal,,n.,,kim loại,,,A1,
method,,n.,,phương pháp,,,A1,
middle,,"n., adj.",,ở giữa,,,A1,
might,,modal v.,,có thể,,,A1,
mile,,n.,,dặm,,,A1,
milk,,n.,,sữa,,,A1,
million,,,,triệu,,,A1,
mind,,"n., v.",,tâm trí,,,A1,
mine,,"pron., n.",,của tôi,,,A1,
minute,,n.,,phút,,,A1,
miss,,n.,,nhớ nhung,,,A1,
mix,,"v., n.",,trộn lẫn,,,A1,
modern,,adj.,,hiện đại,,,A1,
money,,n.,,tiền bạc,,,A1,
month,,n.,,tháng,,,A1,
moon,,n.,,mặt trăng,,,A1,
more,,"det., pron., adv.",,nhiều hơn,,,A1,
morning,,n.,,buổi sáng,,,A1,
most,,"det., pron., adv.",,hầu hết,,,A1,
motion,,n.,,sự chuyển động,,,A1,
mount,,"v., n.",,ngọn núi,,,A1,
mouth,,n.,,miệng,,,A1,
multiply,,v.,,nhân lên,,,A1,
music,,n.,,âm nhạc,,,A1,
must,,modal v.,,phải,,,A1,
my,,det.,,của tôi,,,A1,
name,,"n., v.",,tên,,,A1,
nation,,n.,,quốc gia,,,A1,
natural,,adj.,,tự nhiên,,,A1,
nature,,n.,,thiên nhiên,,,A1,
near,,"adj., adv., prep.",,gần,,,A1,
necessary,,adj.,,cần thiết,,,A1,
neck,,n.,,cái cổ,,,A1,
need,,"v., modal v., n.",,cần,,,A1,
never,,adv.,,không bao giờ,,,A1,
new,,adj.,,mới,,,A1,
next,,"adj., adv., n.",,kế tiếp,,,A1,
night,,n.,,ban đêm,,,A1,
nine,,,,chín,,,A1,
no,,det.,,không,,,A1,
noise,,n.,,tiếng ồn,,,A1,
noon,,,,buổi trưa,,,A1,
nor,,"conj., adv.",,cũng không,,,A1,
north,,"n., adj., adv.",,phía bắc,,,A1,
nose,,n.,,mũi,,,A1,
note,,"n., v.",,ghi chú,,,A1,
nothing,,pron.,,không có gì,,,A1,
notice,,"n., v.",,thông báo,,,A1,
noun,,,,danh từ,,,A1,
now,,adv.,,bây giờ,,,A1,
number,,n.,,con số,,,A1,
numeral,,,,chữ số,,,A1,
object,,"n., v.",,đồ vật,,,A1,
observe,,v.,,quan sát,,,A1,
occur,,v.,,xảy ra,,,A1,
ocean,,n.,,đại dương,,,A1,
of,,prep.,,của,,,A1,
off,,"adv., prep.",,tắt,,,A1,
offer,,"v., n.",,đề nghị,,,A1,
office,,n.,,văn phòng,,,A1,
often,,adv.,,thường xuyên,,,A1,
oh,,,,ồ,,,A1,
oil,,n.,,dầu mỏ,,,A1,
